"","CountryCode","Male_correct","Female_correct","Pvalue_correct","Male_score","Female_score","Pvalue_score","Male_self","Female_self","Pvalue_self"
"19",19,2.99007936507937,3.25816993464052,"0.00234877276013618",-0.83531746031746,-0.748366013071895,"0.419167671938034",3.82539682539683,4.00653594771242,"0.00794057474884023"
"20",20,3.14285714285714,3.33333333333333,"0.810340128972847",-0.571428571428571,-1.33333333333333,"0.488873815856268",3.71428571428571,4.66666666666667,"0.075499135856346"
"21",21,3.36734693877551,3.03030303030303,"0.16227269676279",-0.306122448979592,-0.772727272727273,"0.078034460870933",3.6734693877551,3.8030303030303,"0.443124805007062"
"22",22,3.1,2.8,"0.517478270634234",-0.4,-1,"0.67372510369723",3.5,3.8,"0.776652272011178"
"23",23,1.57142857142857,4,"not enough 'y' observations",-2,1,"not enough 'y' observations",3.57142857142857,3,"not enough 'y' observations"
"24",24,2.625,4,"0.0245291166489028",-1.3125,-0.428571428571429,"0.146982848503088",3.9375,4.42857142857143,"0.223212181525084"
"25",25,2.96,3.16666666666667,"0.723822061836267",-1.08,-1,"0.918417055449712",4.04,4.16666666666667,"0.723567567961624"
"26",26,2.77631578947368,2.88888888888889,"0.691200476560083",-1.15789473684211,-1.11111111111111,"0.900607844749569",3.93421052631579,4,"0.778445623327014"
"27",27,2.1,3,"0.143119643081594",-1.575,-1,"0.321547950436636",3.675,4,"0.317441017997532"
"28",28,2.34751773049645,2.6536312849162,"0.0052529143453632",-1.52482269503546,-1.44692737430168,"0.55356504193206",3.87234042553191,4.10055865921788,"0.00446495782250381"
"29",29,2.52941176470588,2.72093023255814,"0.390657170418076",-1.19117647058824,-1,"0.515673771998911",3.72058823529412,3.72093023255814,"0.998782891087211"
"30",30,2.66666666666667,NA,"not enough 'y' observations",-0.666666666666667,NA,"not enough 'y' observations",3.33333333333333,NA,"not enough 'y' observations"
"31",31,2.33766233766234,2.57894736842105,"0.258583285452047",-1.57142857142857,-1.36842105263158,"0.431992101606237",3.90909090909091,3.94736842105263,"0.816738211763404"
