"","CountryCode","Male_correct","Female_correct","Pvalue_correct","Male_score","Female_score","Pvalue_score","Male_self","Female_self","Pvalue_self"
"19",19,2.98040693293142,3.2940108892922,"2.90930960122105e-11",-0.678975131876413,-0.557168784029038,"0.0376619055993397",3.65938206480784,3.85117967332123,"3.7317930253921e-07"
"20",20,2.85714285714286,3.66666666666667,"0.107215866587526",-0.857142857142857,-0.333333333333333,"0.327874641937196",3.71428571428571,4,"0.227250361771601"
"21",21,3.05670103092783,3.41106719367589,"0.00373260090215297",-0.639175257731959,-0.308300395256917,"0.018116254661234",3.69587628865979,3.71936758893281,"0.796623387192042"
"22",22,2.64285714285714,4,"0.00282589881910794",-0.75,-0.0769230769230769,"0.164432930096764",3.39285714285714,4.07692307692308,"0.0228561021430196"
"23",23,1.83333333333333,2.28571428571429,"0.5254759835216",-1.91666666666667,-1,"0.257911144996512",3.75,3.28571428571429,"0.338813734127202"
"24",24,2.72727272727273,2.88235294117647,"0.675945941262303",-1.21212121212121,-0.882352941176471,"0.39001220647989",3.93939393939394,3.76470588235294,"0.485793165850744"
"25",25,2.65714285714286,3,"0.184071238528579",-1.18571428571429,-0.714285714285714,"0.0762277157193042",3.84285714285714,3.71428571428571,"0.419582837871878"
"26",26,2.95588235294118,3.20833333333333,"0.279170868145608",-0.860294117647059,-0.666666666666667,"0.487529543351376",3.81617647058824,3.875,"0.746646287571933"
"27",27,2.39252336448598,2.66,"0.182893212779332",-1.29906542056075,-1,"0.174202382249714",3.69158878504673,3.66,"0.808759381223203"
"28",28,2.45283018867925,2.8936170212766,"2.52349681853027e-09",-1.32641509433962,-1.16666666666667,"0.0658052455613836",3.77924528301887,4.06028368794326,"1.24870226400983e-07"
"29",29,2.72108843537415,2.92783505154639,"0.198820190117019",-0.979591836734694,-0.77319587628866,"0.304750288202274",3.70068027210884,3.70103092783505,"0.997886929300688"
"30",30,3.22222222222222,3.75,"0.552110451354601",-0.333333333333333,-0.25,"0.924962460167737",3.55555555555556,4,"0.39022521564778"
"31",31,2.39655172413793,2.77235772357724,"0.0100602307840336",-1.31609195402299,-0.861788617886179,"0.00935596437727968",3.71264367816092,3.63414634146341,"0.464360807232823"
"32",32,2.93548387096774,3.38461538461538,"0.342069309753325",-0.935483870967742,-0.615384615384615,"0.548976281330969",3.87096774193548,4,"0.662858733492283"
"33",33,2.7027027027027,2.53846153846154,"0.66116137018496",-1.21621621621622,-1.07692307692308,"0.701884536982998",3.91891891891892,3.61538461538462,"0.339816055746414"
"34",34,3.15254237288136,3.21739130434783,"0.83676780599547",-0.694915254237288,-0.478260869565217,"0.612154655768635",3.84745762711864,3.69565217391304,"0.617858048911827"
"35",35,2.55445544554455,2.66666666666667,"0.394041362711257",-1.18316831683168,-1.13461538461538,"0.744503828381658",3.73762376237624,3.80128205128205,"0.47917788909029"
"36",36,2.7037037037037,2.5,"0.634463132246715",-0.925925925925926,-1.16666666666667,"0.742359499978648",3.62962962962963,3.66666666666667,"0.921524577811464"
